title,category,url,episodes,aired,ended
Can Wa Yu Tianchi Guaishou Zhi Ruixue Zhao Fengnian,movie,https://anidb.net/anime/14880,1,16.02.2019,16.02.2019
Gin no Guardian II,none,https://anidb.net/anime/13237,12,30.06.2017,15.09.2017
Kuiba III: Zhanshen Jueqi,movie,https://anidb.net/anime/10861,1,01.10.2014,01.10.2014
Mak Dau BoloYao WongZi,movie,https://anidb.net/anime/6180,1,24.06.2004,24.06.2004
Chi Jian Chuan Qi,series,https://anidb.net/anime/11168,26,??.??.2008,??.??.2008
Kuiba IV: Mei Lingluo,movie,https://anidb.net/anime/14643,1,??.??.2020,??.??.2020
I-Cheng,none,https://anidb.net/anime/10989,1,28.10.2005,-
Kuiba V: Chongtian Shuo,movie,https://anidb.net/anime/14644,1,??.??.2022,??.??.2022
Mak Dau Dang Dang Ban wo Xin,movie,https://anidb.net/anime/10862,1,10.07.2012,10.07.2012
Mak Dau Goo Si,movie,https://anidb.net/anime/811,1,15.12.2001,15.12.2001
Gongfu Si Xia,movie,https://anidb.net/anime/14881,1,17.12.2016,17.12.2016
Chou Yuu Sekai: Being the Reality,none,https://anidb.net/anime/12709,20,12.01.2017,08.06.2017
Hong Mao Lan Tu Kaixin Yike,series,https://anidb.net/anime/14141,96,??.??.2005,-
Kuiba Yao Xia Zhuan,none,https://anidb.net/anime/14861,20,19.07.2014,-
Chu Feng: Bee,none,https://anidb.net/anime/11295,6,23.07.2015,17.12.2015
Gongfu Si Xia: Yong Chuang Digong,movie,https://anidb.net/anime/14882,1,05.04.2019,05.04.2019
Mak Dau wo He wo Mama,movie,https://anidb.net/anime/10863,1,01.10.2014,01.10.2014
Kung Fu Cooking Girls,none,https://anidb.net/anime/8499,1,03.06.2011,03.06.2011
Mak Dau Xiang Dang Dang,movie,https://anidb.net/anime/8215,1,24.07.2009,24.07.2009
Hong Mao Lan Tu Konglong Shijie,series,https://anidb.net/anime/14138,90,??.??.2005,-
Jian Wang 3: Xia Gan Yi Dan Shen Jian Xin - Changpiao,none,https://anidb.net/anime/15818,TBC,24.10.2020,-
Chui Zhi Shi Jie,none,https://anidb.net/anime/14954,12,18.06.2019,27.08.2019
Guan Hai Ce,none,https://anidb.net/anime/14159,16,17.06.2018,23.09.2018
Jian Wang 3: Xiaganyidan Shen Jianxin,none,https://anidb.net/anime/14854,12,21.09.2018,30.11.2018
Mala Nu Pei,none,https://anidb.net/anime/15595,32,07.04.2020,18.07.2020
Cike Wu Liuqi,none,https://anidb.net/anime/14288,10,25.04.2018,20.06.2018
Lan Mo De Hua,none,https://anidb.net/anime/13429,9,13.07.2017,14.08.2017
Hong Mao Lan Tu Kuaile Shizi,series,https://anidb.net/anime/14153,80,26.11.2014,-
CMFU Xueyuan: Shenshi Ji Jijian,none,https://anidb.net/anime/13808,24,21.11.2017,24.04.2018
Guan Hai Ce: Tieqi Xiangguan,none,https://anidb.net/anime/15667,16,26.04.2020,26.07.2020
Lei Su Deng Shandian Chong Xian,series,https://anidb.net/anime/12792,26,??.05.2007,-
Hong Mao Lan Tu Le Fantian,series,https://anidb.net/anime/14139,66,??.??.2005,-
Hong Mao Lan Tu Maoyan Kan Yuzhou,series,https://anidb.net/anime/14142,97,??.??.2005,-
CMFU Xueyuan: Wangzi Peng Peng Qiu,none,https://anidb.net/anime/13810,24,03.11.2016,06.04.2017
Li Shi,none,https://anidb.net/anime/14959,16,07.05.2020,13.08.2020
Malasong Wangzi,series,https://anidb.net/anime/14828,52,05.03.2011,-
Guomin Laogong Dai Huijia,series,https://anidb.net/anime/13338,12,03.10.2016,12.12.2016
Jian Wang 3: Xiaganyidan Shen Jianxin 2,none,https://anidb.net/anime/15941,12,27.12.2019,03.04.2020
Hong Mao Lan Tu Meng: Guo Lixian Ji,series,https://anidb.net/anime/14151,56,17.08.2012,-
Guomin Laogong Dai Huijia Di Er Ji,none,https://anidb.net/anime/14314,12,01.05.2017,17.07.2017
Guomin Laogong Dai Huijia Di San Ji,none,https://anidb.net/anime/14315,12,25.10.2017,10.01.2018
Lie Yang Tiandao I,movie,https://anidb.net/anime/15686,1,06.08.2020,06.08.2020
Ling Feng Zhe,none,https://anidb.net/anime/14646,7,28.01.2019,04.03.2019
Congming de Yixiu: Fan Dou Gongzhu,movie,https://anidb.net/anime/11667,1,30.04.2014,30.04.2014
Man Tou Riji,none,https://anidb.net/anime/13013,10,25.12.2013,22.10.2014
Jian Wangchao,none,https://anidb.net/anime/13685,12,26.04.2017,05.07.2017
Mang Huang Ji,none,https://anidb.net/anime/14775,19,04.04.2015,21.10.2016
Ling Jian Zun,none,https://anidb.net/anime/14639,200,15.01.2019,-
Guomin Laogong Dai Huijia Di Si Ji,none,https://anidb.net/anime/14316,12,03.10.2018,12.12.2018
Da Nao Tian Gong,movie,https://anidb.net/anime/4087,1,??.??.1965,??.??.1965
Mao Yu Tao Hua Yuan,movie,https://anidb.net/anime/14466,1,05.04.2018,05.04.2018
Jian Wangchao (2017),none,https://anidb.net/anime/13687,12,12.10.2017,21.12.2017
Haier Xiongdi,series,https://anidb.net/anime/14837,212,??.??.1995,??.??.2001
Hong Mao Lan Tu Ni Wen Wo Da,series,https://anidb.net/anime/14143,84,??.??.2005,-
Han Hua Ri Ji,none,https://anidb.net/anime/15004,12,21.07.2019,29.09.2019
Ling Long: Incarnation Shang Ban Ji,none,https://anidb.net/anime/15632,6,13.07.2019,21.09.2019
Hong Mao Lan Tu Qi Xia Chuan,series,https://anidb.net/anime/14145,108,??.??.2006,-
Da Yu Hai Tang,movie,https://anidb.net/anime/8156,1,08.07.2016,08.07.2016
Meng Hui Jinsha Cheng,movie,https://anidb.net/anime/8228,1,10.07.2010,10.07.2010
Hei Mao Jing Zhang,series,https://anidb.net/anime/12692,5,??.01.1984,??.12.1984
Jiang Ziya,movie,https://anidb.net/anime/15375,1,01.10.2020,01.10.2020
Heibai Wushang,none,https://anidb.net/anime/13428,12,09.07.2015,25.02.2016
Jiao Jiao Yu Jing Jing,series,https://anidb.net/anime/15219,10,??.??.1995,-
Ling Long: Incarnation Xia Ban Ji,none,https://anidb.net/anime/15674,6,31.07.2020,09.10.2020
Dabing Jinbao,movie,https://anidb.net/anime/12247,1,10.08.2012,10.08.2012
Hong Mao Lan Tu Qi Xia Waizhuan,series,https://anidb.net/anime/14154,52,11.03.2017,15.10.2017
Jie Mo Ren,none,https://anidb.net/anime/12967,14,27.04.2016,27.07.2016
Ling Qi,none,https://anidb.net/anime/12656,20,21.06.2016,08.11.2016
Meng Qi Shishen,none,https://anidb.net/anime/14663,12,29.12.2018,09.03.2019
Dahua: Shaonian You,none,https://anidb.net/anime/15694,16,15.08.2020,20.11.2020
Jie Yao,none,https://anidb.net/anime/15354,13,09.01.2020,26.03.2020
Meng Ta: Xue Mi Cheng,none,https://anidb.net/anime/14287,12,01.06.2018,10.08.2018
Heibai Wushang Di Er Ji,none,https://anidb.net/anime/13444,12,05.08.2017,14.10.2017
Ling Qi: Huangquan Zhi Qi,none,https://anidb.net/anime/13503,12,23.02.2018,12.05.2018
Dahufa,movie,https://anidb.net/anime/13641,1,13.07.2017,13.07.2017
Jikuu Boukenki Zentrix,series,https://anidb.net/anime/1799,26,09.05.2002,31.10.2002
Hong Mao Lan Tu Shuimo Donghua,series,https://anidb.net/anime/14144,42,??.??.2005,-
Meng Yue Jingling,series,https://anidb.net/anime/13665,52,??.10.2012,??.??.2013
Jin Hou Xiang Yao,movie,https://anidb.net/anime/4907,1,??.??.1985,??.??.1985
Hong Mao Lan Tu Xiao Youmo,series,https://anidb.net/anime/14140,95,??.??.2005,-
Hong Mao Lan Tu Zhang Jian Zou Tianya,series,https://anidb.net/anime/14146,108,01.06.2008,-
Dajiao Niu Meng Gongchang,series,https://anidb.net/anime/15292,156,23.04.2011,07.03.2012
Ling Yu,none,https://anidb.net/anime/13787,10,22.10.2015,24.12.2015
Ling Yu Di 2 Ji,none,https://anidb.net/anime/14210,10,18.02.2016,21.04.2016
Hen Xiyou,none,https://anidb.net/anime/14654,20,18.07.2016,21.11.2016
Jing Hua Yuan,series,https://anidb.net/anime/14863,4,??.??.1991,-
Hong Mao Lan Tu: Yongzhe Guilai,series,https://anidb.net/anime/14149,52,11.01.2011,-
Mi Yu Xingzhe,none,https://anidb.net/anime/13766,12,03.02.2018,21.04.2018
Houzi Lao Yue,movie,https://anidb.net/anime/12556,1,??.??.1981,??.??.1981
Dan Zhu Chuanshuo,series,https://anidb.net/anime/15488,52,??.09.2010,-
Daomu Biji: Qinling Shen Shu,none,https://anidb.net/anime/16192,TBC,04.04.2021,-
Ling Yu Di Liu Ji,none,https://anidb.net/anime/14227,12,20.04.2018,-
Hu wang gui lai,movie,https://anidb.net/anime/8293,1,22.09.2010,22.09.2010
Hu Yao Xiao Hongniang,none,https://anidb.net/anime/12119,121,26.06.2015,14.08.2020
Hua Jianghu: Bei Mo Ting,none,https://anidb.net/anime/13323,40,07.12.2016,-
Miao Xian Sheng,movie,https://anidb.net/anime/15684,1,31.07.2020,31.07.2020
Min Diao Ju Yi Wen Lu,none,https://anidb.net/anime/15683,12,07.08.2020,16.10.2020
Mo Fang Da Sha,series,https://anidb.net/anime/14894,10,??.09.1990,??.10.1994
Dawang Bu Gaoxing,none,https://anidb.net/anime/15495,12,01.01.2020,11.03.2020
Hen Xiyou Di 2 Ji,none,https://anidb.net/anime/14653,20,26.12.2018,-
Jing: Shuang Cheng,none,https://anidb.net/anime/15695,4,15.08.2020,22.08.2020
Ling Yu Di San Ji,none,https://anidb.net/anime/14224,12,04.08.2016,27.10.2016
Hitori no Shita: The Outcast,none,https://anidb.net/anime/12200,12,08.07.2016,24.09.2016
Hua Jianghu: Buliang Ren,none,https://anidb.net/anime/12206,54,31.07.2014,27.08.2015
Ling Yu Di Si Ji,none,https://anidb.net/anime/14225,12,08.12.2016,23.02.2017
Hua Jianghu: Buliang Ren Di Er Ji,none,https://anidb.net/anime/12504,40,21.07.2016,20.04.2017
Ling Yu Di Wu Ji,none,https://anidb.net/anime/14226,12,20.07.2017,05.10.2017
Mo Mo,series,https://anidb.net/anime/13628,52,09.07.2009,30.08.2009
Hong Ling Jin Xia,none,https://anidb.net/anime/8246,1,28.09.2010,28.09.2010
Jingju Mao,series,https://anidb.net/anime/15567,60,28.12.2015,21.10.2016
Hua Jianghu: Buliang Ren Di San Ji,none,https://anidb.net/anime/14647,40,25.10.2018,10.10.2019
Long Zhi Gu: Jingling Wangzuo,movie,https://anidb.net/anime/14577,1,19.08.2016,19.08.2016
Hua Jianghu: Gui Yexing,none,https://anidb.net/anime/15861,TBC,10.11.2020,-
Jingju Mao: Bawang Zhe,movie,https://anidb.net/anime/15762,1,-,-
Hua Jianghu: Ling Zhu,none,https://anidb.net/anime/13042,41,08.10.2015,14.07.2016
Dawang Bu Gaoxing 2,none,https://anidb.net/anime/15685,12,21.07.2020,29.09.2020
Long Zhi Gu: Poxiao Qibing,movie,https://anidb.net/anime/14304,1,31.07.2014,31.07.2014
Modao Zushi,none,https://anidb.net/anime/14162,15,09.07.2018,06.10.2018
Hong Mao Lan Tu A Muxing,series,https://anidb.net/anime/14122,30,??.07.2007,-
Modao Zushi (2019),none,https://anidb.net/anime/14428,8,03.08.2019,31.08.2019
Jingju Mao: Cheng Feng Polang,series,https://anidb.net/anime/15761,52,09.07.2018,13.08.2018
Huan Jie Wang,none,https://anidb.net/anime/14099,20,30.05.2018,17.10.2018
Loufuji Seui Fu Chyun,movie,https://anidb.net/anime/11230,1,10.08.1982,10.08.1982
Jingju Mao: Jiaota Shidi,none,https://anidb.net/anime/15758,70,24.03.2020,-
Di Ling Qu,none,https://anidb.net/anime/13660,18,19.09.2017,29.01.2018
Jingju Mao: Xinnian de Maoxian,series,https://anidb.net/anime/15760,52,10.07.2017,14.08.2017
Loufuji: Faandau Jingtaam,movie,https://anidb.net/anime/11297,1,20.12.2003,20.12.2003
Mori Shuguang,none,https://anidb.net/anime/13942,20,20.05.2018,23.09.2018
Huan Jing Nuo De Lin,none,https://anidb.net/anime/13446,1,28.04.2017,28.04.2017
Jintian Kaishi Zuo Mingxing,none,https://anidb.net/anime/15538,13,27.12.2019,20.03.2020
Hulu Xiao Jin Gang,special,https://anidb.net/anime/8123,6,??.??.1989,??.??.1991
Jinxiu Shenzhou: Qi You Ji,series,https://anidb.net/anime/12538,26,18.11.2013,-
Jinxiu Shenzhou: Xingshi Wangguo,series,https://anidb.net/anime/14581,26,29.11.2014,-
Jiu Se Lu,movie,https://anidb.net/anime/8120,1,??.??.1981,??.??.1981
Jiu Ye Shen Zhuan,none,https://anidb.net/anime/16002,13,21.12.2020,08.03.2021
Jiyi U Pan,none,https://anidb.net/anime/14377,15,19.07.2018,18.10.2018
Jubing Chang Cheng Chuan,series,https://anidb.net/anime/14650,40,19.01.2019,23.03.2019
Jue Ji,movie,https://anidb.net/anime/13303,1,30.09.2016,30.09.2016
Kai Feng Kidan (Movie),movie,https://anidb.net/anime/13011,1,-,-
Kai Feng Qitan: Zhege Baogong Bu Taixing,none,https://anidb.net/anime/13010,9,19.05.2017,04.06.2017
Moshi Juexing Zhi Ruqin,none,https://anidb.net/anime/14375,13,24.05.2018,09.08.2018
Mu Di,movie,https://anidb.net/anime/11949,1,??.??.1963,??.??.1963
Mu Wang Zhi Wang: Han Tie Dou,none,https://anidb.net/anime/13653,21,11.05.2017,21.09.2017
Mu Wang Zhi Wang: Qi Lin Jue,none,https://anidb.net/anime/13627,20,21.07.2016,24.11.2016
Mu Wang Zhi Wang: Xuan Guan Si,none,https://anidb.net/anime/13654,20,07.12.2017,19.04.2018
Nami Hexin,none,https://anidb.net/anime/12195,10,14.02.2014,31.07.2015
Nami Hexin (2016),none,https://anidb.net/anime/12196,20,08.04.2016,10.10.2016
Nami Hexin (2017),none,https://anidb.net/anime/14502,20,02.08.2017,20.12.2017
Nezha Chuan Qi,series,https://anidb.net/anime/14637,52,??.??.2003,-
Nezha Nao Hai,movie,https://anidb.net/anime/9369,1,19.05.1979,19.05.1979
Nezha: Mo Tong Jiang Shi,movie,https://anidb.net/anime/15250,1,26.07.2019,26.07.2019
Nu Wushen de Canzhuo,none,https://anidb.net/anime/15005,10,28.06.2019,30.08.2019
Nu Wushen de Canzhuo II,none,https://anidb.net/anime/15614,8,17.07.2020,21.09.2020
Nusheng Sushe Richang Di 2 Ji,none,https://anidb.net/anime/13818,7,21.10.2017,02.01.2018
Nuwa Chengzhang Riji,none,https://anidb.net/anime/11972,30,12.04.2016,01.11.2016
Onmyouji: Shiranui,none,https://anidb.net/anime/15422,1,07.05.2019,07.05.2019
Qiang Niang,none,https://anidb.net/anime/13609,12,18.08.2017,27.10.2017
Qiang Shen Ji,none,https://anidb.net/anime/14160,12,08.12.2017,23.02.2018
Qiang Shen Ji: Tegong Shijia Pian,none,https://anidb.net/anime/14298,12,15.06.2018,31.08.2018
Qin Shi Ming Yue 6: Canghai Heng Liu,none,https://anidb.net/anime/14656,TBC,27.12.2018,-
Qin Shi Mingyue 3D: Dianying Longteng Wanli,movie,https://anidb.net/anime/12626,1,08.08.2014,08.08.2014
Qin Shi Mingyue Si: Wanli Changcheng,series,https://anidb.net/anime/12479,37,30.09.2012,02.01.2013
Qin Shi Mingyue Tebie Pian: Dizi Jiang Xi,none,https://anidb.net/anime/13576,1,13.02.2015,13.02.2015
Qin Shi Mingyue Tebie Pian: Kongshan Niao Yu,none,https://anidb.net/anime/13574,3,09.05.2014,08.07.2014
Qin Shi Mingyue: Bai Bu Fei Jian,series,https://anidb.net/anime/8954,10,14.02.2007,23.02.2007
Qin Shi Mingyue: Junlin Tianxia,none,https://anidb.net/anime/13290,75,25.12.2014,30.11.2017
Qin Shi Mingyue: Luo Shengtang Xia,none,https://anidb.net/anime/13575,1,13.08.2014,13.08.2014
Qin Shi Mingyue: Ye Jin Tianming,series,https://anidb.net/anime/8955,18,17.07.2008,03.08.2008
Qin Shi Mingyue: Yi Zhe Ru Shi,none,https://anidb.net/anime/13962,1,05.10.2017,05.10.2017
Qin Shi Mingyue: Zhu Zi Bai Jia,series,https://anidb.net/anime/8956,34,10.06.2010,-
Qin Xia,none,https://anidb.net/anime/15784,12,16.10.2020,25.12.2020
Qing Chi Hong Xiaodou Ba!,none,https://anidb.net/anime/14376,12,05.07.2018,20.09.2018
Qing Chi Hong Xiaodou Ba! Di Er Ji,none,https://anidb.net/anime/14657,16,13.01.2019,25.04.2019
Qing Wa Wang Zi Li Xian Ji,movie,https://anidb.net/anime/14873,1,05.04.2019,05.04.2019
Qingcong: Youth,none,https://anidb.net/anime/8248,1,21.06.2010,21.06.2010
Quanhuang Juexing,movie,https://anidb.net/anime/13729,1,??.??.2022,??.??.2022
Quanzhi Fashi,none,https://anidb.net/anime/13171,12,02.09.2016,04.11.2016
Quanzhi Fashi 2,none,https://anidb.net/anime/13469,12,15.09.2017,01.12.2017
Quanzhi Fashi 3,none,https://anidb.net/anime/14572,12,13.10.2018,22.12.2018
Quanzhi Fashi IV,none,https://anidb.net/anime/15397,12,27.05.2020,24.06.2020
Quanzhi Gaoshou,none,https://anidb.net/anime/12560,12,07.04.2017,16.06.2017
Quanzhi Gaoshou 2,series,https://anidb.net/anime/14978,12,25.09.2020,04.12.2020
Quanzhi Gaoshou: Dianfeng Rongyao,movie,https://anidb.net/anime/15035,1,16.08.2019,16.08.2019
Quanzhi Gaoshou: Tebie Pian,none,https://anidb.net/anime/13950,3,27.04.2018,11.05.2018
Rakshasa Street,none,https://anidb.net/anime/12358,24,28.04.2016,20.10.2016
Rang Wo Men Shao Ba!!!,none,https://anidb.net/anime/14062,2,13.02.2018,22.03.2018
Reikenzan: Eichi e no Shikaku,series,https://anidb.net/anime/12030,12,08.01.2017,26.03.2017
Renshenguo,movie,https://anidb.net/anime/7386,1,??.??.1981,??.??.1981
Robomasters The Animated Series,series,https://anidb.net/anime/12815,6,13.10.2017,17.11.2017
Saan T Loufuji,movie,https://anidb.net/anime/11296,1,04.08.1983,04.08.1983
Saikyou Bushou-den Sangoku Engi,series,https://anidb.net/anime/7434,52,01.08.2009,04.04.2010
